letter,notes
letra q,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra r,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra s,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra t,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra u,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra v,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra x,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra y,"(1) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(2) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(4) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(5) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(6) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(7) Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
letra y,"(8) Citado por Saturnino Muniagurria. “El Guaraní (Elementos de Gramática Guaraní y Vocabulario de las voces más importantes de este Idioma)” (1967). Ed. Hachette, Buenos Aires."
letra y,"(9) Isabel de Asuad da a conocer tres vocablos relacionados con esta palabra: Yuyo: la maleza, la hierba que no se cultiva; Yuyaje: conjunto de yuyos; hierba crecida; y Yuyal: lugar donde abundan los yuyos (Ver: “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes)."
letra y,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
letra z,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
